timestamp,open,high,low,close,volume,turnover
2025-03-07 05:00:00,2154.45,2183.0,2153.39,2173.14,34411.68,74646098.752
2025-03-07 06:00:00,2173.14,2185.54,2164.05,2181.13,20869.87,45360797.5567
2025-03-07 07:00:00,2181.13,2192.68,2176.8,2191.27,23313.93,50958204.3548
2025-03-07 08:00:00,2191.27,2194.9,2175.47,2184.3,19674.68,42956913.4791
2025-03-07 09:00:00,2184.3,2210.06,2183.73,2192.13,35610.82,78270696.2684
2025-03-07 10:00:00,2192.13,2197.0,2184.0,2195.63,16813.44,36839187.7785
2025-03-07 11:00:00,2195.63,2206.59,2188.9,2196.4,26868.98,59040604.2411
2025-03-07 12:00:00,2196.4,2198.07,2163.91,2177.31,53066.1,115597655.3027
2025-03-07 13:00:00,2177.31,2225.99,2176.45,2187.09,139013.76,306133650.3538
2025-03-07 14:00:00,2187.09,2257.22,2175.25,2220.65,151538.51,336254959.5441
2025-03-07 15:00:00,2220.65,2238.94,2178.47,2208.36,136533.11,301209924.2539
2025-03-07 16:00:00,2208.36,2214.36,2142.52,2157.31,138512.58,300609326.9419
2025-03-07 17:00:00,2157.31,2184.05,2139.14,2160.73,102754.98,221776014.7874
2025-03-07 18:00:00,2160.73,2199.93,2155.23,2193.79,46016.75,100234071.0299
2025-03-07 19:00:00,2193.79,2201.79,2159.66,2176.75,56646.62,123466247.7922
2025-03-07 20:00:00,2176.75,2186.32,2143.76,2156.18,96517.46,208971113.5015
2025-03-07 21:00:00,2156.18,2162.94,2112.25,2138.02,117851.21,251669331.9768
2025-03-07 22:00:00,2138.02,2150.54,2115.47,2143.07,46073.44,98254579.432
2025-03-07 23:00:00,2143.07,2143.71,2113.85,2140.52,35404.46,75404033.3217
2025-03-08 00:00:00,2140.52,2151.92,2128.84,2150.48,26694.11,57122373.7784
2025-03-08 01:00:00,2150.48,2154.8,2102.97,2131.93,50774.16,107873741.862
2025-03-08 02:00:00,2131.93,2144.6,2130.0,2142.64,16162.08,34535668.2296
2025-03-08 03:00:00,2142.64,2142.66,2122.68,2136.98,17819.78,38035165.9045
2025-03-08 04:00:00,2136.98,2152.2,2130.21,2149.0,16094.39,34508334.7861
2025-03-08 05:00:00,2149.0,2149.31,2131.85,2139.41,13202.24,28251611.426
2025-03-08 06:00:00,2139.41,2144.29,2131.46,2138.38,14314.79,30610933.385
2025-03-08 07:00:00,2138.38,2146.9,2132.85,2136.52,17453.36,37351645.1953
2025-03-08 08:00:00,2136.52,2139.88,2125.25,2127.01,19420.47,41382351.5311
2025-03-08 09:00:00,2127.01,2142.58,2125.26,2128.47,19055.72,40653821.2829
2025-03-08 10:00:00,2128.47,2139.86,2126.33,2138.52,11297.36,24107194.6161
2025-03-08 11:00:00,2138.52,2141.12,2125.34,2140.6,27031.11,57668710.3836
2025-03-08 12:00:00,2140.6,2173.0,2136.42,2167.48,63337.42,136617558.4184
2025-03-08 13:00:00,2167.48,2197.92,2165.25,2189.29,70632.49,154320714.7101
2025-03-08 14:00:00,2189.29,2194.95,2174.19,2177.93,44827.69,97863926.4134
2025-03-08 15:00:00,2177.93,2191.02,2167.06,2180.36,22134.52,48210655.1396
2025-03-08 16:00:00,2180.36,2197.48,2159.5,2189.31,47882.94,104268909.5919
2025-03-08 17:00:00,2189.31,2218.0,2178.41,2197.66,93634.49,206212452.5271
2025-03-08 18:00:00,2197.66,2213.03,2193.03,2207.77,26809.88,59058315.2929
2025-03-08 19:00:00,2207.77,2233.96,2199.46,2223.58,66516.38,147634381.309
2025-03-08 20:00:00,2223.58,2224.91,2210.01,2211.88,20438.41,45321602.9458
2025-03-08 21:00:00,2211.88,2223.94,2211.0,2214.98,18837.52,41768673.1004
2025-03-08 22:00:00,2214.98,2216.4,2195.58,2206.15,34067.42,75061331.1338
2025-03-08 23:00:00,2206.15,2210.22,2191.84,2202.68,38081.91,83803018.5174
2025-03-09 00:00:00,2202.68,2208.79,2198.77,2205.03,13068.85,28815888.1236
2025-03-09 01:00:00,2205.03,2211.0,2185.78,2189.86,24489.57,53823234.9177
2025-03-09 02:00:00,2189.86,2193.34,2178.45,2180.65,19126.15,41812362.5062
2025-03-09 03:00:00,2180.65,2189.01,2174.32,2184.27,17016.95,37105367.573
2025-03-09 04:00:00,2184.27,2190.63,2182.41,2188.41,10645.93,23275670.3253
2025-03-09 05:00:00,2188.41,2196.28,2178.9,2181.65,18844.85,41231111.5074
2025-03-09 06:00:00,2181.65,2183.88,2170.45,2178.66,18894.28,41146489.165
2025-03-09 07:00:00,2178.66,2188.18,2176.93,2184.02,13169.07,28755403.6471
2025-03-09 08:00:00,2184.02,2186.77,2174.37,2174.9,12923.32,28168450.3291
2025-03-09 09:00:00,2174.9,2179.62,2159.41,2164.74,37183.79,80710784.6
2025-03-09 10:00:00,2164.74,2169.0,2126.9,2132.66,77427.48,166259397.8239
2025-03-09 11:00:00,2132.66,2147.35,2130.95,2145.23,31682.55,67803767.3324
2025-03-09 12:00:00,2145.23,2145.35,2129.75,2140.36,35404.84,75759796.0945
2025-03-09 13:00:00,2140.36,2142.7,2101.93,2102.9,79770.44,169380669.2851
2025-03-09 14:00:00,2102.9,2123.72,2096.0,2115.77,95042.35,200568735.0542
2025-03-09 15:00:00,2115.77,2121.33,2082.88,2096.01,77126.06,161831337.9884
2025-03-09 16:00:00,2096.01,2108.17,2040.28,2047.85,169132.82,350624660.0751
2025-03-09 17:00:00,2047.85,2055.99,2012.02,2022.81,130857.38,266087246.7162
2025-03-09 18:00:00,2022.81,2038.3,1995.76,2019.78,188733.7,381095892.0313
2025-03-09 19:00:00,2019.78,2047.65,2014.87,2038.64,82451.45,167380231.7005
2025-03-09 20:00:00,2038.64,2054.97,2034.68,2045.6,38247.24,78243177.0525
